Castig(ue|ar|ada),-2
Violada,-3
Favor,-1
Interrupci[oó]n,-3
conciencia,-1
v[ií]ctima,-2
delito,-2
doloroso,-1
Eugen[ée]sico,1
Asesinato,3
vida,3
nacer,1
niñ[ao]s,2
defi?end,2
inocente,2
izquierda,3
nacer,2
